地域,事業主体,区分,応募倍率,時点,出典,出典URL,データ更新日
全国,公営住宅（参考・全国平均）,全体,約5.8倍,平成26年度,国土交通省 資料,https://www.mlit.go.jp/,2026-07-08
札幌市,市営住宅,定期募集（全体・年度平均）,約17.3倍,令和5年度（2023年度）,"札幌市『市営住宅の管理概要 資料5』（547戸/9,488人。団地別は最高 幌北175.8倍〜最低 稲積0.5倍）",https://www.city.sapporo.jp/toshi/jutaku/08osirase/koumoku/documents/08_siryo5~kanrigaiyo.pdf,2026-07-08
仙台市,市営住宅,一般募集（近年の平均）,約8倍,令和8年3月時点,仙台市営住宅の整備及び管理の基本方針,https://www.city.sendai.jp/shiejutaku/kurashi/machi/sumai/chintai/kihonhoshin.html,2026-07-08
さいたま市,市営住宅,一般募集（1回当たり平均）,約10.6倍,令和6年度（2024年度）,さいたま市市営住宅等長寿命化計画（令和8年3月）p.23,https://www.city.saitama.lg.jp/001/154/007/007/p080749_d/fil/choujumyoukakeikaku.pdf,2026-07-08
千葉市,市営住宅,一般募集（住戸別・平均は非公表）,約0〜35倍（例:宮野木町第2団地35倍）,令和8年度第1期（2026年4月）,千葉市住宅供給公社『市営住宅抽選結果一覧表』,https://www.cjkk.or.jp/shiei/result/,2026-07-08
東京都,都営住宅,単身者向け（人気区の例）,数十〜約180倍,2025年8月 定期募集,JKK東京 抽せん結果（新宿179倍・江東60.9倍・墨田46.5倍 等）,https://www.to-kousya.or.jp/kouei/toeibosyu/,2026-07-08
東京都,都営住宅,世帯向（一般募集住宅）,5.6倍,令和7年5月定期募集,令和7年5月 都営住宅入居者募集にかかる抽せん結果について,https://www.to-kousya.or.jp/content/000047891.pdf,2026-07-08
東京都,都営住宅,若年夫婦・子育て世帯向（定期使用住宅）,3.0倍,令和7年5月定期募集,令和7年5月 都営住宅入居者募集にかかる抽せん結果について,https://www.to-kousya.or.jp/content/000047891.pdf,2026-07-08
東京都,都営住宅,居室内で病死等があった住宅,10.6倍,令和7年5月定期募集,令和7年5月 都営住宅入居者募集にかかる抽せん結果について,https://www.to-kousya.or.jp/content/000047891.pdf,2026-07-08
川崎市,市営住宅,定期募集（全体平均）,約10.5倍,2026年2月（令和7年12月募集）,"川崎市『令和7年12月の市営住宅入居者募集に係る抽選結果』（応募1,808人）",https://www.city.kawasaki.jp/500/page/0000184372.html,2026-07-08
横浜市,市営住宅,定期募集（全体平均）,約9.9倍,2026年1月（令和7年10月募集）,"横浜市記者発表『横浜市営住宅の抽選結果について』（501戸/4,950人）",https://www.city.yokohama.lg.jp/city-info/koho-kocho/press/kenchiku/2025/shieijutaku20260115.html,2026-07-08
神奈川県,県営住宅,一般世帯向け（新築）,約6.5倍,平成27年11月時点（参考）,神奈川県,https://www.pref.kanagawa.jp/,2026-07-08
神奈川県,県営住宅,改良住宅,約1.7倍,平成27年11月時点（参考）,神奈川県,https://www.pref.kanagawa.jp/,2026-07-08
名古屋市,市営住宅,一般募集（応募者倍率・合計）,約5.2倍（一般世帯向 約5.6倍）,令和7年度第1回（2025年6月）,名古屋市『令和7年度第1回市営住宅入居者一般募集の抽せん結果』,https://www.city.nagoya.jp/houdou/pressr7/pressr7-06/3002107.html,2026-07-08
名古屋市,市営住宅,一般募集（全区分計・抽せん玉数ベース）,6.3倍,令和7年度第4回（令和8年2月募集）,名古屋市報道発表（令和8年度第1回一般募集）,https://www.city.nagoya.jp/houdou/3003942/3003944/3004503.html,2026-07-08
京都市,市営住宅,一般選考（平均）,約16.7倍,令和7年9月募集（2025年9月）,京都市『令和7年9月市営住宅入居者募集公開抽選結果』（54戸/902名）,https://www.city.kyoto.lg.jp/tokei/page/0000346626.html,2026-07-08
