市,都道府県,市全体の平均倍率,区分,団地・住戸,応募倍率,属性メモ,データ更新日
札幌市,北海道,17.3,高い,幌北団地,175.8倍,北区・地下鉄北24条駅至近・築浅中心・EV有・単身向けあり（令和8年度前期は216.8倍）,2026-07-08
札幌市,北海道,17.3,高い,新さっぽろ団地,134.1倍,厚別区・新さっぽろ駅約200m・築13年・EV有（令和4年度は市内最高233.8倍）,2026-07-08
札幌市,北海道,17.3,高い,伏古A,118.5倍,東区・建替新築・EV有・単身向け,2026-07-08
札幌市,北海道,17.3,低い,稲穂,0倍,手稲区・EVなし・JR駅からバス圏,2026-07-08
札幌市,北海道,17.3,低い,稲積,0.5倍,手稲区・昭和57年築・5階建EVなし,2026-07-08
札幌市,北海道,17.3,低い,東川下,0.6倍,白石区・昭和52年築・EVなし（資料に『5階は募集割れ』の注記）,2026-07-08
横浜市,神奈川県,9.9,高い,鶴見中央,155倍,鶴見区・単身者可の枠,2026-07-08
横浜市,神奈川県,9.9,高い,南日吉,125倍,港北区・単身者可,2026-07-08
横浜市,神奈川県,9.9,高い,中村町,124倍,南区・単身者可,2026-07-08
横浜市,神奈川県,9.9,高い,長津田スカイハイツ,105倍,緑区・単身者可,2026-07-08
横浜市,神奈川県,9.9,低い,高齢者向け・借上型の各住宅,0倍,戸塚区・西区ほか（世帯類型のミスマッチ）,2026-07-08
横浜市,神奈川県,9.9,低い,橋戸ハイツ（車いす使用者用）,0倍,瀬谷区,2026-07-08
横浜市,神奈川県,9.9,低い,市内全域「2階以上でEVなし」（単身）,0.8倍,同じ市単位でも『1階またはEV付き』は2.7倍,2026-07-08
千葉市,千葉県,,高い,宮野木町第2団地,35倍,稲毛区・平成29年築・2DK・3階・EV有・単身可,2026-07-08
千葉市,千葉県,,高い,宮野木町第1団地,32倍,稲毛区・平成20年築・2DK・EV有・単身可,2026-07-08
千葉市,千葉県,,高い,高浜第1団地（1階）,29倍,美浜区・昭和49年築・EVなし・ただし1階,2026-07-08
千葉市,千葉県,,高い,星久喜町第2団地,21倍,中央区・平成15年築・3LDK・EV有,2026-07-08
千葉市,千葉県,,低い,古市場第1〜3団地,0倍,緑区・昭和54年〜築・EVなし・4〜5階の住戸が多数ゼロ,2026-07-08
千葉市,千葉県,,低い,貝塚団地（4〜5階）,0倍,若葉区・昭和59年築・EVなし,2026-07-08
神戸市,兵庫県,16.8,高い,新大和東,144倍,灘区・平成7年築・EV有・JR六甲道駅徒歩8分,2026-07-08
神戸市,兵庫県,16.8,高い,神楽,100倍,長田区・平成8年築・新長田駅徒歩4分,2026-07-08
神戸市,兵庫県,16.8,高い,新御崎西,93倍,兵庫区・平成29年築（今回最築浅）・御崎公園駅徒歩3分・EV有,2026-07-08
神戸市,兵庫県,16.8,低い,横尾・東多聞の各棟,0倍,須磨区・垂水区・昭和53年築・地下鉄駅からバス便,2026-07-08
神戸市,兵庫県,16.8,低い,神前,0倍,灘区だが阪急六甲駅徒歩11分（中心区で唯一の0倍）,2026-07-08
さいたま市,埼玉県,10.6,高い,道祖土団地（単身1DK）,108倍,単身住宅,2026-07-08
さいたま市,埼玉県,10.6,高い,南浦和団地（3DK 一般）,90.5倍,世帯向けでも突出。計画も『団地別では南浦和が高い』と明記,2026-07-08
さいたま市,埼玉県,10.6,高い,高砂団地（単身1DK）,81.5倍,単身住宅,2026-07-08
さいたま市,埼玉県,10.6,高い,大谷口細野・本郷町（単身1DK）,81倍,単身住宅,2026-07-08
さいたま市,埼玉県,10.6,低い,浮谷住宅（一般2UDK）,0.3倍,空き家発生率が高い団地の世帯向け,2026-07-08
さいたま市,埼玉県,10.6,低い,峰岸住宅（一般3DK）,0.7倍,空き家発生率17.2%,2026-07-08
さいたま市,埼玉県,10.6,低い,今羽・植水（一般3K）,1.0倍,世帯向け,2026-07-08
京都市,京都府,16.7,高い,楽只（E102・単身者向け）,122.0倍,単身可（単身者向け区分）。1戸に抽選対象122名で市内最高。区・築年・EVは資料に記載なし（不明）,2026-07-08
京都市,京都府,16.7,高い,樫原（E41・単身者向け）,69.0倍,単身可。1戸/69名。区・築年・EVは不明,2026-07-08
京都市,京都府,16.7,高い,唐橋第二（B90・一般3DK/3LDK）,56.0倍,世帯向け（3DK）。1戸/56名。区・築年・EVは不明,2026-07-08
京都市,京都府,16.7,高い,竹田（B35・一般3DK/3LDK）,53.0倍,世帯向け（3DK）。1戸/53名。区・築年・EVは不明,2026-07-08
京都市,京都府,16.7,高い,向島5街区（E53・単身者向け）,50.0倍,単身可。1戸/50名。区・築年・EVは不明,2026-07-08
京都市,京都府,16.7,低い,醍醐南（A48・一般2K/2DK）,0.0倍,世帯向け。募集2戸に応募0名。ただし同団地の単身向け（E48）は11.0倍,2026-07-08
京都市,京都府,16.7,低い,醍醐中山（B51・一般3DK/3LDK）,0.0倍,世帯向け（3DK）。1戸に応募0名。同団地の単身向け（E51）は20.0倍,2026-07-08
