全国地方公共団体コード,都道府県,市区町村,収録状況,障害者_要介護度の下限,障害者_認知症度の下限,障害者_寝たきり度の下限,特別障害者_要介護度の下限,特別障害者_認知症度の下限,特別障害者_寝たきり度の下限,根拠（例規名など）,公布日,最終改正日,出典URL,データ読み取り日
012041,北海道,旭川市,判定ランクを公表していない,,,,,,,,,,https://www.city.asahikawa.hokkaido.jp/kurashi/101/1051/03/d055977.html,2026-08-27
012084,北海道,北見市,基準表が本文に無い,,,,,,,障害者控除対象者認定書交付事務処理要綱,2014-04-01,2019-03-28,https://lg.joureikun.jp/kitami_city/reiki/act/110001305.html,2026-08-27
012165,北海道,芦別市,表が読めない,,,,,,,芦別市高齢者に係る障害者控除対象者認定書交付規則,2007-01-31,2016-03-31,https://houmu.h-chosonkai.gr.jp/~reikidb/data/6/44/reiki_honbun/a017RG00000285.html,2026-08-27
012203,北海道,士別市,基準表が本文に無い,,,,,,,士別市事務専決規程,2005-09-01,2026-03-31,https://en3-jg.d1-law.com/shibetsu/d1w_reiki/H417902200004/H417902200004_j.html,2026-08-27
012211,北海道,名寄市,要確認(順序が逆転),,,B2,要介護3,Ⅲa,B1,名寄市障害者控除対象者認定に関する事務処理要綱,2008-12-17,2023-03-24,https://en3-jg.d1-law.com/nayoro/d1w_reiki/H420902501029/H420902501029_j.html,2026-08-27
012262,北海道,砂川市,表が読めない,,,,,,,砂川市障害者控除対象者認定に関する取扱要綱,2006-12-20,2018-07-31,http://www.city.sunagawa.hokkaido.jp/d1w_reiki/H418902200038/H418902200038_j.html,2026-08-27
012289,北海道,深川市,読めた(本文の文章から),要介護1,Ⅱa,B1,,,,深川市高齢者に係る障がい者控除対象者認定書交付事務取扱要綱,2002-11-19,2024-02-01,https://www1.g-reiki.net/fukagawa/reiki_honbun/r100RG00000662.html,2026-08-27
012351,北海道,石狩市,読めた,,Ⅱa,B1,,,,石狩市障害者控除対象者認定要綱,2011-03-10,2011-03-10,https://en3-jg.d1-law.com/ishikari/d1w_reiki/H423902600033/H423902600033_j.html,2026-08-27
012360,北海道,北斗市,読めた,,Ⅱa,B1,,Ⅳ,,北斗市障害者控除対象者認定書交付規程,2006-02-01,2016-04-01,https://www.city.hokuto.hokkaido.jp/reiki_int/reiki_honbun/r297RG00000308.html,2026-08-27
013048,北海道,新篠津村,読めた,要介護1,Ⅱa,,要介護4,Ⅲa,,新篠津村障害者控除対象者認定書交付事務取扱要綱,2011-01-14,2011-01-14,http://houmu.h-chosonkai.gr.jp/~reikidb/data/100/40/reiki_honbun/a037RG00000468.html,2026-08-27
