募集回,募集区分,区市町,住宅名,募集戸数,建築年度,エレベーター,入居人数
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,三鷹市,上連雀一丁目,2,昭和56,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,世田谷区,上用賀一丁目,1,昭和56,無,３人以上
令和4年5月,居室内で病死等があった住宅,世田谷区,喜多見二丁目,1,昭和50,有,２人以上
令和4年5月,居室内で病死等があった住宅,世田谷区,喜多見二丁目,1,昭和50,有,２人以上
令和4年5月,居室内で病死等があった住宅,八王子市,中野山王三丁目,1,平成15,有,２人以上
令和4年5月,居室内で病死等があった住宅,八王子市,八王子石川町第２,1,平成13,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,八王子市,八王子高倉町第２,2,昭和55,無,３人以上
令和4年5月,居室内で病死等があった住宅,八王子市,多摩ニュータウン上柚木第２,1,平成5,有,２人以上
令和4年5月,居室内で病死等があった住宅,八王子市,多摩ニュータウン鹿島,1,昭和60,無,２人以上
令和4年5月,居室内で病死等があった住宅,八王子市,大和田七丁目,1,昭和51,有,３人以上
令和4年5月,居室内で病死等があった住宅,品川区,八潮五丁目,1,昭和58,無,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,国分寺市,国分寺内藤一丁目,1,平成3,無,２人以上
令和4年5月,世帯向（一般募集住宅）,国分寺市,富士本三丁目,2,昭和51,無,２人以上
令和4年5月,世帯向（一般募集住宅）,国立市,国立北三丁目,1,昭和63,無,２人以上
令和4年5月,居室内で病死等があった住宅,国立市,国立北三丁目第２,1,平成3,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,国立市,国立東三丁目第２,1,昭和51,無,２人以上
令和4年5月,世帯向（一般募集住宅）,国立市,泉二丁目,1,平成5,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,多摩市,多摩ニュータウン中沢一丁目,2,平成29,有,３人以上
令和4年5月,居室内で病死等があった住宅,多摩市,多摩ニュータウン落合,1,昭和48,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,上水南町一丁目,3,平成2,無,２人以上
令和4年5月,世帯向（一般募集住宅）,小平市,中島町,2,平成3,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,中島町,4,平成3,有,２人以上
令和4年5月,世帯向（一般募集住宅）,小平市,大沼町一丁目,2,平成3,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,大沼町二丁目,1,平成11,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,大沼町二丁目,2,平成11,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,小川東町,3,昭和62,無,２人以上
令和4年5月,世帯向（一般募集住宅）,小平市,小川町一丁目,1,昭和63,有,３人以上
令和4年5月,居室内で病死等があった住宅,小平市,小川町一丁目,1,昭和63,有,３人以上
令和4年5月,居室内で病死等があった住宅,小平市,小平仲町,1,昭和62,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,小平天神町二丁目,1,平成6,有,２人以上
令和4年5月,世帯向（一般募集住宅）,府中市,府中幸町二丁目第３,1,昭和59,無,３人以上
令和4年5月,世帯向（一般募集住宅）,府中市,府中新町一丁目,1,昭和58,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,府中市,府中晴見町二丁目,1,昭和55,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,府中市,府中美好町二丁目第４,1,昭和63,無,２人以上
令和4年5月,居室内で病死等があった住宅,新宿区,戸山ハイツ,1,昭和45,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,日野市,多摩平一丁目,1,昭和57,有,３人以上
令和4年5月,居室内で病死等があった住宅,日野市,日野新町一丁目,1,平成11,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,日野市,落川,1,昭和60,無,２人以上
令和4年5月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成14,有,２人以上
令和4年5月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成14,有,２人以上
令和4年5月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成11,有,２人以上
令和4年5月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成15,有,２人以上
令和4年5月,居室内で病死等があった住宅,昭島市,拝島町三丁目,1,平成7,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,昭島市,昭島東町一丁目,4,昭和50,有,２人以上
令和4年5月,居室内で病死等があった住宅,昭島市,昭島玉川町,1,昭和52,無,２人以上
令和4年5月,世帯向（一般募集住宅）,昭島市,美堀町二丁目,1,平成10,無,２人以上
令和4年5月,居室内で病死等があった住宅,東久留米市,前沢二丁目,1,平成3,有,２人以上
令和4年5月,世帯向（一般募集住宅）,東久留米市,東久留米南町一丁目第２,1,平成20,有,４人以上
令和4年5月,居室内で病死等があった住宅,東久留米市,東久留米幸町一丁目,1,平成11,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,東久留米市,柳窪三丁目,1,平成7,無,２人以上
令和4年5月,世帯向（一般募集住宅）,東大和市,東大和桜が丘三丁目,1,昭和60,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,東大和市,狭山四丁目,2,昭和62,無,２人以上
令和4年5月,世帯向（一般募集住宅）,東村山市,多摩湖町一丁目第２,2,平成4,有,２人以上
令和4年5月,世帯向（一般募集住宅）,東村山市,多摩湖町一丁目第２,1,平成4,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,多摩湖町一丁目第２,1,平成4,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,多摩湖町一丁目第２,1,平成4,無,２人以上
令和4年5月,世帯向（一般募集住宅）,東村山市,東村山富士見町二丁目,1,平成5,有,３人以上
令和4年5月,世帯向（一般募集住宅）,東村山市,東村山富士見町五丁目,2,昭和58,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,東村山栄町三丁目,1,昭和63,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,東村山栄町三丁目第２,4,昭和61,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,東村山萩山町一丁目,2,昭和60,無,２人以上
令和4年5月,居室内で病死等があった住宅,東村山市,東村山萩山町三丁目,1,昭和58,無,２人以上
令和4年5月,世帯向（一般募集住宅）,東村山市,東村山諏訪町一丁目,1,平成3,有,４人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,秋津町五丁目,1,昭和56,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,東村山市,美住町一丁目第３,4,平成8,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,前野町三丁目,1,昭和46,無,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,前野町三丁目,1,昭和46,有,２人以上
令和4年5月,世帯向（一般募集住宅）,板橋区,前野町五丁目,1,昭和48,無,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,前野町四丁目第２,1,昭和48,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,板橋区,双葉町第２,1,平成3,有,３人以上
令和4年5月,居室内で病死等があった住宅,板橋区,坂下三丁目第２,1,昭和49,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,成増五丁目第２,1,平成22,有,４人以上
令和4年5月,居室内で病死等があった住宅,板橋区,新河岸二丁目,1,昭和46,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,新河岸二丁目,1,昭和45,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,新河岸二丁目,1,昭和46,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,板橋向原一丁目,1,平成4,無,３人以上
令和4年5月,居室内で病死等があった住宅,板橋区,板橋富士見町,1,平成21,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,板橋区,板橋富士見町第２,1,平成19,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,蓮根三丁目,1,昭和50,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,蓮根三丁目,1,昭和50,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,蓮根三丁目,1,昭和50,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,西台,1,昭和45,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,西台,1,昭和45,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,西台,1,昭和45,有,２人以上
令和4年5月,居室内で病死等があった住宅,板橋区,西台,1,昭和45,有,２人以上
令和4年5月,居室内で病死等があった住宅,武蔵村山市,村山,1,平成16,有,２人以上
令和4年5月,居室内で病死等があった住宅,江戸川区,小松川三丁目,1,昭和61,有,２人以上
令和4年5月,居室内で病死等があった住宅,江戸川区,平井七丁目,1,昭和46,有,２人以上
令和4年5月,居室内で病死等があった住宅,江戸川区,東篠崎一丁目第２,1,平成19,有,２人以上
令和4年5月,居室内で病死等があった住宅,江戸川区,東篠崎一丁目第２,1,平成22,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,江戸川区,西瑞江四丁目第２,1,昭和63,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,江戸川区,西瑞江第２,1,昭和55,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,江戸川区,西瑞江第２,1,昭和55,無,３人以上
令和4年5月,居室内で病死等があった住宅,江東区,北砂一丁目第３,1,昭和46,有,２人以上
令和4年5月,居室内で病死等があった住宅,江東区,大島八丁目第２,1,昭和45,有,２人以上
令和4年5月,居室内で病死等があった住宅,江東区,東砂二丁目,1,昭和43,有,２人以上
令和4年5月,居室内で病死等があった住宅,江東区,東砂八丁目第２,1,昭和44,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,清瀬市,松山一丁目,3,昭和57,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,清瀬市,松山三丁目,6,昭和53,無,２人以上
令和4年5月,世帯向（一般募集住宅）,清瀬市,清瀬竹丘三丁目,1,昭和51,有,２人以上
令和4年5月,居室内で病死等があった住宅,清瀬市,清瀬竹丘二丁目,1,平成3,無,２人以上
令和4年5月,世帯向（一般募集住宅）,清瀬市,清瀬野塩,1,平成26,有,３人以上
令和4年5月,居室内で病死等があった住宅,渋谷区,幡ヶ谷二丁目第２,1,昭和45,無,２人以上
令和4年5月,居室内で病死等があった住宅,町田市,山崎町,1,昭和52,有,２人以上
令和4年5月,居室内で病死等があった住宅,町田市,山崎町第２,1,昭和63,無,３人以上
令和4年5月,居室内で病死等があった住宅,町田市,忠生四丁目,1,昭和52,有,２人以上
令和4年5月,居室内で病死等があった住宅,町田市,成瀬,1,昭和51,有,２人以上
令和4年5月,居室内で病死等があった住宅,町田市,木曽森野第１,1,平成3,有,２人以上
令和4年5月,居室内で病死等があった住宅,町田市,森野二丁目第２,1,昭和58,無,２人以上
令和4年5月,居室内で病死等があった住宅,町田市,森野五丁目,1,平成4,有,３人以上
令和4年5月,世帯向（一般募集住宅）,町田市,森野四丁目,1,平成8,有,４人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,町田市,玉川学園三丁目,1,平成5,無,２人以上
令和4年5月,居室内で病死等があった住宅,町田市,町田金森一丁目,1,平成3,有,３人以上
令和4年5月,居室内で病死等があった住宅,町田市,金森第１０,1,平成7,有,２人以上
令和4年5月,居室内で病死等があった住宅,町田市,金森第３,1,昭和54,無,２人以上
令和4年5月,居室内で病死等があった住宅,町田市,金森第４,1,昭和58,有,２人以上
令和4年5月,世帯向（一般募集住宅）,立川市,上砂町一丁目,1,平成5,無,４人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,立川市,立川一番町五丁目,1,平成24,有,４人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,立川市,立川幸町二丁目第５,1,平成4,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,立川市,立川柴崎町一丁目,1,昭和59,無,３人以上
令和4年5月,居室内で病死等があった住宅,立川市,立川栄町五丁目,1,平成3,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,立川市,立川錦町二丁目,1,昭和57,無,３人以上
令和4年5月,居室内で病死等があった住宅,練馬区,光が丘第１,1,昭和55,有,３人以上
令和4年5月,居室内で病死等があった住宅,練馬区,光が丘第２,1,昭和56,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,練馬区,南大泉一丁目,1,平成4,無,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,練馬区,小竹町二丁目第２,1,昭和59,無,３人以上
令和4年5月,世帯向（一般募集住宅）,練馬区,練馬関町一丁目,1,昭和61,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,練馬区,練馬関町北三丁目第３,1,昭和60,無,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,練馬区,練馬関町北四丁目第３,1,平成7,無,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,練馬区,練馬関町北四丁目第４,1,平成12,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,練馬区,練馬関町東一丁目,2,平成2,無,３人以上
令和4年5月,世帯向（一般募集住宅）,葛飾区,亀有二丁目第３,2,昭和55,無,２人以上
令和4年5月,世帯向（一般募集住宅）,葛飾区,亀有二丁目第７,1,昭和59,無,２人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,亀有四丁目,1,平成23,有,２人以上
令和4年5月,世帯向（一般募集住宅）,葛飾区,南水元一丁目第２,3,昭和60,有,３人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,堀切八丁目第２,1,昭和57,無,３人以上
令和4年5月,世帯向（一般募集住宅）,葛飾区,新宿六丁目,1,平成17,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,葛飾区,新宿六丁目,1,平成17,有,２人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,新宿六丁目,1,平成17,有,２人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,東金町二丁目,1,昭和63,有,３人以上
令和4年5月,世帯向（一般募集住宅）,葛飾区,東金町二丁目第２,2,昭和63,有,３人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,東金町二丁目第２,1,昭和63,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,葛飾区,柴又一丁目第３,1,昭和55,無,２人以上
令和4年5月,世帯向（一般募集住宅）,葛飾区,柴又三丁目,1,昭和48,無,２人以上
令和4年5月,世帯向（一般募集住宅）,葛飾区,柴又四丁目,1,昭和48,無,２人以上
令和4年5月,世帯向（一般募集住宅）,葛飾区,白鳥四丁目,1,昭和58,有,２人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,白鳥四丁目,1,昭和58,有,２人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,西亀有一丁目,1,平成19,有,２人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,西亀有二丁目第１６,1,昭和61,無,２人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,西水元二丁目,1,昭和59,有,３人以上
令和4年5月,居室内で病死等があった住宅,葛飾区,高砂四丁目,1,平成20,有,３人以上
令和4年5月,居室内で病死等があった住宅,調布市,調布くすのき,1,昭和49,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,保木間第５,1,昭和42,無,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,六ツ木町,1,昭和44,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,六ツ木町,1,昭和44,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,島根二丁目第２,1,平成7,有,３人以上
令和4年5月,居室内で病死等があった住宅,足立区,弘道二丁目,1,昭和55,有,３人以上
令和4年5月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,無,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,花畑第４,1,昭和46,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,西保木間三丁目,1,昭和48,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,西保木間四丁目,1,昭和43,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,西新井本町二丁目,1,昭和46,有,２人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,足立区,西綾瀬四丁目,2,昭和63,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,足立区,西綾瀬四丁目,3,平成2,無,３人以上
令和4年5月,居室内で病死等があった住宅,足立区,足立中央本町五丁目,1,昭和51,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,足立入谷町,1,昭和54,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,足立加賀二丁目,1,昭和59,有,３人以上
令和4年5月,居室内で病死等があった住宅,足立区,足立加賀二丁目,1,昭和59,有,３人以上
令和4年5月,若年夫婦・子育て世帯向（定期使用住宅）,足立区,青井三丁目第２,1,昭和53,有,２人以上
令和4年5月,居室内で病死等があった住宅,足立区,青井三丁目第３,1,昭和57,有,３人以上
